state_name;state;rb;kreis;vb;gem;city;area;inhabitants_2024;
Sachsen-Anhalt;15;0;88;0216;216;Wettin-Löbejün;127,14;9747;
Hessen;;;;;wi;Wiesbaden;203,87;288850;
Niedersachsen;;;;;wv;Wilhelmshaven;;75745;
Rheinland-Pfalz;7;3;33;5006;503;Winnweiler;21,8;5001;
Niedersachsen;;;;;wo;Wolfsburg;204,62;129560;
Rheinland-Pfalz;7;3;19;0000;000;Worms;108,73;84646;
Rheinland-Pfalz;7;3;34;0501;501;Wörth am Rhein;131,62;18350;
Bayern;;;;;wz;Würzburg;87,6;133258;
Nordrhein-Westfalen;;;;;wu;Wuppertal;168,39;358193;
Brandenburg;12;0;63;0357;357;Wustermark;52,88;10922;
Thüringen;16;0;63;0092;092;Wutha-Farnroda;36,61;6436;
Baden-Württemberg;8;3;37;5008;123;Wutöschingen;26,47;6766;
Mecklenburg-Vorpommern;13;0;76;5667;159;Zarrentin am Schaalsee;91,9;5484;
Sachsen-Anhalt;15;0;82;0430;430;Zerbst;468,94;21519;
Brandenburg;12;0;72;0477;477;Zossen;180,39;21433;
Sachsen;14;5;21;5139;700;Zschorlau;21,93;5166;
Rheinland-Pfalz;7;3;20;0000;000;Zweibrücken;70,64;34534;
Sachsen;14;5;24;0330;330;Zwickau;102,58;87172;
;;;;;;;;;
