document_use_id;document_id;manifesto_id;municipality;state;ags;party;party_abbreviation;election_year;document_type;program_scope;use_type;filename;source;content_hash;ags_source
USE-e8cad66cd147;DOC-c976ab6755f7;GLMP-8CD92EE9D6;Hamm;Nordrhein-Westfalen;05915000;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;hm04gru.txt;main;c976ab6755f704a2d91c51940daa28ffe40eb90d07cab1f64eef78356f38288d;manual_2024_reference
USE-122b6449cc28;DOC-8d6155f25da8;GLMP-58F40DBC62;Koeln;Nordrhein-Westfalen;05315000;Die Linke;lin;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ko04lin.txt;main;8d6155f25da8cde3edadd86eceab568f6d3b8b60dfd5fbc9e5f01fdfc2a49ba6;manual_2024_reference
USE-24d3c938e382;DOC-283903287a1c;GLMP-AD57D2732A;Koeln;Nordrhein-Westfalen;05315000;FDP;fdp;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ko04fdp.txt;main;283903287a1cfade8a74fc6743179884407d8f4ded15c282215bd22a1422f8fa;manual_2024_reference
USE-16b5ac502ec3;DOC-105fc104b4bf;GLMP-61D5BE0131;Koeln;Nordrhein-Westfalen;05315000;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ko04gru.txt;main;105fc104b4bf85e396291ecb917c6a7a8a50629ab372bd942232ec810adcd6a4;manual_2024_reference
USE-ef393547599f;DOC-bea30d824278;GLMP-7BA564C6EB;Koeln;Nordrhein-Westfalen;05315000;SPD;spd;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ko04spd.txt;main;bea30d824278b67083d1a4018de9f82cab602145d264bcdc0ac6238ca7fc5c00;manual_2024_reference
USE-f306ece70349;DOC-4c1f3204d151;GLMP-17402F5EB8;Krefeld;Nordrhein-Westfalen;05114000;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;kr04cdu.txt;main;4c1f3204d151dc274f0738604a1b0396963e1b6631181687563225dcae432a60;manual_2024_reference
USE-bd3a1cf4a765;DOC-13455a9898ed;GLMP-C739DAD803;Krefeld;Nordrhein-Westfalen;05114000;SPD;spd;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;kr04spd.txt;main;13455a9898eddd766ef99fd391c08241e03f5e29344dd378976cb37f6f7c95aa;manual_2024_reference
USE-fd2685827f16;DOC-1dfb469ad9b4;GLMP-258DE1835D;Leverkusen;Nordrhein-Westfalen;05316000;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;le04gru.txt;main;1dfb469ad9b4a2eac96df38be8b20c6ba51f6779fabbf6b6067e5c6689542903;manual_2024_reference
USE-3edf17d28c3e;DOC-59aed3fbacbb;GLMP-5314DE51DF;Moenchengladbach;Nordrhein-Westfalen;05116000;FDP;fdp;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;mg04fdp.txt;main;59aed3fbacbb969caa94d23b08ecf4c7efb0636d8c4d3ef3d2fb5add69d6422b;manual_2024_reference
USE-f1c2b49d321a;DOC-57ad5da33e3c;GLMP-0D9FF48CD2;Moenchengladbach;Nordrhein-Westfalen;05116000;Freie Wähler;fwg;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;mg04fwg.txt;main;57ad5da33e3c0bc6ea2cf61bb73ad8fff8d7ce22d27ae16415ebaa64500a7356;manual_2024_reference
